username	followers	following	posts	profile_pic	has_posts	follower_following_ratio	posts_per_follower	label	confidence
user_1	80	7585	0	0	0	0.010545742156604272	0.0	0	0.9508396381768534
user_2	98	105	0	0	0	0.9245283018867925	0.0	1	0.7443747041049188
user_3	154	6958	36	1	1	0.02212961632418451	0.23225806451612904	1	0.7950332253044402
user_4	43	7583	0	0	0	0.005669831223628692	0.0	0	0.9136379906711649
user_5	94	97	0	0	0	0.9591836734693877	0.0	1	0.676881497725147
user_6	90	100	0	0	0	0.8910891089108911	0.0	1	0.6647203933237148
user_7	100	106	0	0	0	0.9345794392523364	0.0	1	0.6847464255844354
user_8	7422	318	275	1	1	23.266457680250785	0.03704701603125421	1	0.9240392984401682
user_9	34	8395	0	0	0	0.004049547403525489	0.0	0	0.939350965536548
user_10	106	97	0	0	0	1.0816326530612246	0.0	1	0.7332642413679276
user_11	9256	478	481	1	1	19.32359081419624	0.05196067840553095	1	0.9438284539995868
user_12	91	91	0	0	0	0.9891304347826086	0.0	1	0.6620568768316234
user_13	9212	110	99	1	1	82.990990990991	0.010745685444480626	1	0.9415893299881744
user_14	94	92	0	0	0	1.010752688172043	0.0	1	0.6792655900822568
user_15	23	6107	0	0	0	0.003765553372626064	0.0	0	0.919359331036424
user_16	101	7769	65	1	1	0.012998712998712999	0.6372549019607843	1	0.8170832995689093
user_17	92	103	0	0	0	0.8846153846153846	0.0	1	0.6862392978669323
user_18	135	6835	24	1	1	0.019748390871854885	0.17647058823529413	1	0.8379544708369973
user_19	26	9744	0	0	0	0.002668034889687019	0.0	0	0.920346751668216
user_20	82	9935	53	1	1	0.008252818035426731	0.6385542168674698	1	0.8183233076669252
user_21	5093	282	450	1	1	17.996466431095406	0.08833922261484099	1	0.9052035524779507
user_22	196	7875	0	0	0	0.02488572879634332	0.0	0	0.9029089984957346
user_23	167	7108	77	1	1	0.023491348994232664	0.4583333333333333	1	0.8114610432740108
user_24	44	8648	0	0	0	0.005087293328708521	0.0	0	0.9816169815021475
user_25	94	95	0	0	0	0.9791666666666666	0.0	1	0.7375886024237366
user_26	96	90	0	0	0	1.054945054945055	0.0	1	0.6720088976439148
user_27	7954	145	488	1	1	54.47945205479452	0.061345065996228784	1	0.9765551300973924
user_28	31	9223	98	1	1	0.0033607979184735472	3.0625	1	0.8402454945883254
